job_id,team,priority,gpu_count,submit_time,duration
prod-infer-001,prod-infer,9,4,0,120
research-a-001,research-a,4,16,2,300
research-b-001,research-b,4,8,5,180
exp-c-001,exp-c,1,2,8,60
research-a-002,research-a,4,32,10,420
prod-train-001,prod-train,8,64,15,600
exp-c-002,exp-c,1,4,20,90
research-b-002,research-b,5,8,25,150
prod-infer-002,prod-infer,9,4,30,100
exp-c-003,exp-c,2,2,35,45
research-a-003,research-a,4,16,180,240
prod-infer-003,prod-infer,9,4,185,110
research-b-003,research-b,5,32,190,360
exp-c-004,exp-c,1,4,195,75
prod-train-002,prod-train,8,64,200,540
research-a-004,research-a,4,8,210,150
exp-c-005,exp-c,2,2,215,50
prod-infer-004,prod-infer,9,4,220,95
research-b-004,research-b,5,16,225,200
exp-c-006,exp-c,1,4,230,60
prod-train-003,prod-train,8,32,450,480
research-a-005,research-a,4,16,460,270
research-b-005,research-b,5,8,465,160
prod-infer-005,prod-infer,9,4,470,105
exp-c-007,exp-c,1,2,475,55
research-a-006,research-a,4,64,480,390
exp-c-008,exp-c,2,4,485,70
prod-infer-006,prod-infer,9,4,490,90
